id,path,S,M,I
150,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189394.jpg,1.0,1.0,1.0
151,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189439.jpg,1.0,1.0,1.0
152,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189458.jpg,1.0,1.0,1.0
153,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189487.jpg,1.0,1.0,1.0
154,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189509.jpg,1.0,1.0,1.0
155,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189515.jpg,1.0,1.0,1.0
156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189521.jpg,1.0,1.0,1.0
157,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189551.jpg,1.0,1.0,1.0
158,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189668.jpg,1.0,1.0,1.0
159,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189713.jpg,1.0,1.0,1.0
160,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189725.jpg,1.0,1.0,1.0
161,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189748.jpg,1.0,1.0,1.0
162,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189754.jpg,1.0,1.0,1.0
163,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189755.jpg,1.0,1.0,1.0
164,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189851.jpg,1.0,1.0,1.0
165,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189912.jpg,1.0,1.0,1.0
166,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189982.jpg,1.0,1.0,1.0
167,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190036.jpg,1.0,1.0,1.0
168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190071.jpg,1.0,1.0,1.0
169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190078.jpg,1.0,1.0,1.0
170,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190079.jpg,1.0,1.0,1.0
171,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190122.jpg,1.0,1.0,1.0
172,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190150.jpg,1.0,1.0,1.0
173,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190186.jpg,1.0,1.0,1.0
174,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190206.jpg,1.0,1.0,1.0
175,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190215.jpg,1.0,1.0,1.0
