source,target,sim
15,155,0.8266582489013672
15,177,0.810778021812439
16,27,0.7462199926376343
16,30,0.7911781668663025
16,45,0.7877283096313477
16,48,0.7607765197753906
16,49,0.8075059056282043
16,50,0.8203631043434143
16,51,0.8101556897163391
16,60,0.7641335725784302
16,61,0.7520758509635925
16,69,0.755368709564209
16,88,0.7534744739532471
16,93,0.726170539855957
16,105,0.8042342662811279
16,131,0.8067604303359985
16,134,0.7776504755020142
16,176,0.7803320288658142
16,183,0.7855515480041504
16,197,0.7508435845375061
17,21,0.7173659801483154
17,28,0.7043598890304565
17,29,0.7641811370849609
17,44,0.7190988063812256
17,58,0.706515371799469
17,86,0.7166227102279663
17,114,0.7079063653945923
17,121,0.7612888216972351
17,140,0.7003247737884521
17,141,0.7093703746795654
17,143,0.7069293856620789
17,173,0.7376571297645569
18,21,0.8405348062515259
18,22,0.8443835973739624
18,38,0.8016930818557739
18,39,0.7990189790725708
18,44,0.8189269304275513
18,54,0.8023551106452942
18,86,0.766024112701416
18,114,0.8438580632209778
18,137,0.804863691329956
18,141,0.8275713920593262
18,143,0.8138988018035889
18,151,0.7938173413276672
18,155,0.7979589104652405
18,199,0.7516860365867615
19,21,0.813773512840271
19,22,0.7970072031021118
19,27,0.7671725749969482
19,34,0.8212852478027344
19,39,0.8329957723617554
19,115,0.8023343682289124
19,116,0.7773078083992004
19,135,0.7783796191215515
19,136,0.802975594997406
19,139,0.8387105464935303
19,145,0.8069897294044495
19,153,0.7936360836029053
19,156,0.8036927580833435
19,177,0.8313354253768921
19,185,0.7890465259552002
19,188,0.7702294588088989
19,191,0.7877167463302612
19,199,0.7605622410774231
20,21,0.8408020734786987
20,24,0.8217346668243408
20,32,0.8336892127990723
20,39,0.8159750699996948
20,40,0.8786770105361938
20,42,0.8667301535606384
20,44,0.8645856380462646
20,54,0.85658198595047
20,55,0.8136048316955566
20,57,0.8370765447616577
20,100,0.848310649394989
20,102,0.7829749584197998
20,103,0.8109707236289978
20,107,0.7952917218208313
20,129,0.834463357925415
20,143,0.8211477994918823
20,185,0.8055028915405273
21,22,0.8148559927940369
21,24,0.8081693649291992
21,29,0.8117967844009399
21,33,0.782726526260376
21,39,0.8165340423583984
21,40,0.8348113894462585
21,42,0.8497216701507568
21,43,0.8438366651535034
21,44,0.8786057829856873
21,54,0.8552404046058655
21,58,0.780501127243042
21,83,0.8383404016494751
21,98,0.6869019865989685
21,114,0.8011382818222046
21,119,0.8557773232460022
21,135,0.7476732730865479
21,137,0.8524226546287537
21,139,0.8555421829223633
21,141,0.7772963047027588
21,143,0.8352992534637451
21,150,0.8236210346221924
21,155,0.8370580077171326
22,23,0.8600385189056396
22,24,0.8452953100204468
22,27,0.7636465430259705
22,29,0.781511664390564
22,35,0.7978850603103638
22,38,0.834639847278595
22,39,0.8117847442626953
22,47,0.7321075201034546
22,48,0.8128932118415833
22,55,0.7913721203804016
22,65,0.7980598211288452
22,104,0.7700641751289368
22,114,0.8358031511306763
22,127,0.8429449796676636
22,129,0.8095279932022095
22,141,0.8076763153076172
22,143,0.8102670907974243
22,155,0.8110661506652832
22,161,0.7808584570884705
22,183,0.7507489919662476
22,189,0.8204230666160583
22,193,0.7511608600616455
23,24,0.8767528533935547
23,32,0.7980138063430786
23,34,0.7778292894363403
23,39,0.8051790595054626
23,44,0.8009377121925354
23,54,0.8162877559661865
23,55,0.7636003494262695
23,59,0.8019696474075317
23,65,0.7965517640113831
23,81,0.7960201501846313
